speech,is_depression
обращался очень плохо начал принимать ламотриджин сыпь всё тянул приёмом стало немножко полегче последние 2 недели всё вернулось эмоций сплю 1314 часов интересно хочется,True
знаю бежать делать плохо мыслях будущем голова свинцом наливается,True
встаю кровати вечеру становится хожу ночью улице пью пиво могу хочу работать учиться жить,True
5 месяцев вообще интересно кроме моей дочерью представляю самое худшее это неизбежно понимаю вчера плохо стало усидеть месте могла начала метаться психобольная фильмов могла поверить плохо душе,True
сначала сама говорила никчёмная позорница вообще земля носила ещё это говорить начали это пугает это просто,True
чувствую другим могу взять руки чтото внутри надломилось,True
сон стал моим главным состоянием бодровствовать хочу хочу просыпаться сплю перемотать время наплыва эмоций очень плохо становится мысли смерти могу хочу просыпаться,True
плохо очень плохо физически лежу прибили кровати дышу воздухом киселём какимто животе скопилось всё ела последнюю неделю хочу спать уснуть могу,True
раньше знала буду думать смерти каждый день хочу умереть думаю существовать страдать удовольствия жизни получаю прихожу выводу жить,True
думала депрессия это вообще последнее время плачу всё время какаято слабодушная стала услышу чтото песне такое сразу слёзы помню прежней тучи сгущаются плохо хуже,True
развода 4 месяца нечего могу делать отказываюсь слабость хочу просыпаться радует такое наверное года 2 назад начали мужем ссориться часто пыталась отравиться пила химию какуюто вырвало,True
"чувствую слабой больной знаю болезнь хочется всё бросить лежать кровати вставать уснуть несколько месяцев проснуться здоровой каждый просыпаюсь рано часов 5 плохо лежу плачу часа 2 работой работе замечают отпуск взять провериться врачей ""на приведение похожа"" наверное бледная страшная",True
хожу зомби долго засыпаю засыпаю просыпаюсь 100 ночь просыпаюсь часов 6 весь поту температурил чувство накурился всё плывёт слабость плохо хочу делать мысли поспать нормально,True
несчастна браке понимаю муж любит люблю удобно жить ради замуж выходила чём нуждаться хочу таких отношений прошлым мужем хочу нему уйти думаю всё время позавчера написала хочу встретиться отвечает понимаю зря развелась очень хватает любви плачу ночам каждую ночь могу заснуть таблеток недели 3 мысли жизнь както идёт плаксивая стала душа выхожу смотрю зеркало разревусь мужа это бесит бесит могу понять реву чтото похожее мной пару родителями изза отчисления ругалась прошлом браке плохо терпимо помощью обращалсь раньше это проходит,True
такое ощущение разваливаюсь куски хочу радует сплю вечера выйду магазин посижу поплачу спать 14 часов сплю раньше такое 12 лет 23 года плохо поэтому решила обратиться врачу,True
могу ребёнку уделять внимания заботы сколько нужно 3 месяца очень требует ресурсе раздражаюсь понимаю плохого сделал это проблема еда радует всё остальное бесит поспать могу ребёнок будит хочу разбитая,True
жизнь такое ощущение подходит концу всё позади несчастная жизнь смерть конце радует маленькие такие точки темноте внутри всё онемело плакать могу смеяться,True
бросил заниматься реконструкцией хотя раньше очень вовлечён 3 года всё свободное время туда отдаю вообще хочу пытаюсь както чтото делать вообще доставляет радости прихожу работы пью пиво быстрее перемотать время ещё заснуть могу,True
чувствую скоро умру писали люди ощущают скоро умрут всё медленное такое серое груди плохо становится особенно ночам плачу помогает хотя раньше помогало,True
последние 2 недели какбудто голове оркестр мыслей играет могу чём сконцентрироваться дела дело переключаюсь миллион идей какбудто,False
сегодня записалась окрашивание хочу постричься сменить причёску вообще последнее время поменяла,False
помню спал последний нормально вообще засыпал сном столько мыслей какойто ерунде начинаю накурчивать сердце колотиться спать лёг пробежки пришёл,False
антидепрессантах быстро както стало нормально недели 3 подняла триттико сон плохой стала злая родителями ругалась пыталась словами задеть самой стыдно 2 дня такая сильная депрессия мысли плохое появились могу чём сконцентрироваться смеюсь начаинаю плакать настроение всё время плохое накупила всякой ерунды каждую неделю человек,False
знаю деть делать хочется отключиться эта тревога спала,False
одну неделю чувствую интерес чему например купил настольных игр хотел разбираться играть друзьями начал заниматься кожевенным делом купил оборудование резко всё это интерено хочу продать вроде психически чувствую нормально просто энтузиазм спадает депрессия сил интерес жизни пару дней назад,False
очень остро жизнь всё реагирую очень эмоциональная мешает жить эмоции настолько мучительны режусь увидеть кровь отпускает,False
внутри натянутая струна которая порвётся всё переживаю вообще пустякам понимаю это успокоится могу,False
столько переделала это лучшее время моей жизни почему жила раньше? злая какаято последнее время люди шарахаются это ерунда,False
"несколько недель назад подумала ""если ответят горячей линии сброшусь высоты"" ответили кемто поговорить знала самой справиться",False
метро появляется ощущение потеряю сознание начинаю задыхаться люди больную смотрят правда плохо переживаю неловко такое состояние пока вагона выйду 8 месяцев метро захожу такси езжу нормально,False
руки трясутся голове каша могу чём сконцентрироваться раньше стала знаю переработала наверное уснуть могу мысли крутятся лезут всякое надумываю ерунду какуюто особенно сном,False
дней 5 слабость пессимизм бывает сразу друзья понимают трогать нормально спокойно бывает настроение очень хорошее всё нравится общаюсь друзьями классно проваливаюсь устал такого,False
2 часа радуюсь чувствую могу всё резко накатывает хочу убить всё кругу могу уснуть сонливости плачу всё время смеюсь дурочка понять могу,False
жизни веселый человек 2 года настроение всё время приподнятое нормальное бывает батарайки садятся полежать кем общаюсь такое дня 4 длится депрессии,False
чёткие депрессии это 100% месяца 34 ставили реккурентное депрессивное расстройство 2021 2023 года эпизодов лечился раньше студентом подъёмы 12 дня вообще дела делал круто 34 дня такое бывает выраженно,False
бесят человека сразу ярлык вешаю одному недостатку стыдно становится общаюсь человеком прыщ носу толстый моменте просто могу заставить настроение меняется 45 день думаю уходить работы разочаровалась системе,False
пью воду 40 минут подождать отравлена? понимаю это бред могу собой сделать убеждаю всё равно жду соседи отравили ещё както воду яд попал?,False
стала мама которая метусилась непонятно феназепам пила помню часто такая взъерошенная всё реагирую неадекватно такси долго едет уверена опоздаю уволят работы никуда возьмут буду бомжевать умру голода бред это понимаю тревога сильная сопротявляться невозможно,False
